Macro Processus;Processus;Sous Processus;Entité;Sous-Entité;Activité;Risque;Cause;Description du plan d'action;Porteur;adresse mail du porteur;Date de début du plan d'action;Date de fin du plan d'action ;Avancement du plan d'action;Statut du plan d'action ; DESCRIPTION DU CONTRÔLE;Type de contrôle;Méthode de contrôle;Proba;Gravité;Financier;RH;Image;Juridique;Client;Criticité;maturité CI;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Piloter la mise en place des mécanismes de détection et de lutte contre la fraude;Risque  non respect des engagements commerciaux ;blocage à  tort d'un client  normal ( simbox , sim supecte);;;;;;;;"Analyse à J+1  des differents rapports de detection 
Déblocage de l'ensemble des clients faux positifs 
Traitement des reclamations postées vie l'outils CIS  ( sim box et sim suspecte ) conformement au délai ( 48H)
clôture des reclamartion traitées dans CIS
Traitement en masse deux fois par semaine de l'ensemble des numéros en Sim suspecte 
Insertion des numeros debloqués au niveau de la ""white list""";Detectif;Manuelle;3;2;1;;2;2;2;;1;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Gérer les risques, le contrôle interne et piloter la démarche fraude et revenue assurance;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Risques Contrôle Interne Fraude Revenue Assurance(DFRARCI);Piloter la mise en place des mécanismes de détection et de lutte contre la fraude;Risque de fraude ;Développement d'activites frauduleuses sur le reseau mobile   (Simbox);;;;;;;;"- Existence d'un outil Groupe de détection de la fraude Simbox ""TBS Probe"" 
-Campagnes de détections de  Simbox réalisées par l'ARPT 
 - Existence des  outils  développés en interne  par la DRSI: 
  SIMLESS: blocage par IMEI
  KILL SIMBOX: profilage 
  Versalytic de Latro ( protocole signature)
  Campagnes de Géolocalisation des équipements SIM BOX ( Latro)
-Analyse des rapports Top 200 Off net ,on net .
 ";Detectif;Manuelle;2;2;2;;2;;2;;2;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Déployer les normes et piloter l’amélioration continue;Déployer les normes et piloter l’amélioration continue;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Management Integré(DMI);Elaborer et déployer la politique QSE ;Risque de non-conformité du système QSE;Absence de maîtrise sur des activités externalisées ;;;;;;;;" - Contrats avec fournisseurs et sous traitants disponibles et applicables
insertion des clauses QSE  dans les contrats et sensibilsation des prestataires externes

 ";Preventif;Manuelle;2;3;2;;3;3;2;;2;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d' audit ou de CG;Risque d'audit (non contrôle, non détection);Mauvaise perception et/ou manque d’intérêt des interlocuteurs de ACG;;;;;;;;" - Envoi d'une lettre de mission et d'un plan d'approche décrivant les objectifs et le périmètre de la mission et reunion d'ouverture avec les audités 
 - Réunion de restitution avec les audités pour la validation du projet de rapport";Preventif;Manuelle;2;2;3;2;1;1;2;;2;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d' audit ou de CG;Risque d'audit (non contrôle, non détection);Turnover des auditeurs expérimentés;;;;;;;;"
-Existence d'un programme de qualification en interne 
-poyvalence des equipes d'audit 
-Coaching des nouveaux auditeurs ";Preventif;Manuelle;2;2;3;2;1;1;2;;2;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d' audit ou de CG;Risque d'audit (non contrôle, non détection);Retard dans la mise à disposition des informations/indisponibilité des interlocuteurs;;;;;;;;" - Existence d'une charte d'audit précisant l'exigence de disponibilité des acteurs et des informations à la demande des auditeurs 
 - Escalade et Relance effectuée avec copie N+1
 - Auditeurs ont accès à certaines applications pour consultation et édition 
 - Transmission d'une lettre de mission et du planning au démarrage de la mission";Preventif;Manuelle;2;2;3;2;1;1;2;;2;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d' audit ou de CG;Risque de non maîtrise des risques;Non application des recommandations;;;;;;;;" - Suivi hebdomadaire des recommandations et remontée à DAMRQ
 - Existence d'une procédure de suivi des recommandations 
 -Mise en place des correspondants au niveau des differentes directions pour le suivi des recommandations 
";Detectif;Manuelle;2;2;2;2;2;1;2;;2;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d'enquête;Risque d'inefficacité des missions d'enquête;Non exhaustivité de la remontée des faits générateurs de mission d'enquête (volontaire ou involontaire);;;;;;;;"- Note sur l'obligation d'alerte diffusée dans l'intracom
Analyse de la pertinence des alertes 
 Si alerte fondée declenchement d'une mission d'enquête 

";Preventif;Manuelle;1;2;2;2;;2;2;;3;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d'enquête;Risque d'inefficacité des missions d'enquête;Multiplicité des dossiers d'enquête;;;;;;;;"Les dossiers sensibles sont directement pris en charge par le Chef de Division ACG
- Enquêtes priorisées ";Preventif;Manuelle;2;2;2;2;;2;2;;2;;;;;;;;;;;;;
Piloter l'entreprise Orange Guinée;Manager l'audit;Manager l'audit;Direction Audit management des risques et de la Qualité(OGC DAMRQ);Division Audit & Contrôles Généraux(DAC);Conduire une mission d'enquête;Risque d'atteinte à l'intégrité physique;Représailles à l'endroit des audtieurs;;;;;;;;"
 - Diffusion des rapports au DG et au directeur de l'entité concernée
 - Respect du code de déontologie de l'auditeur (intégrité, objectivité et conscience professionnelle)";Preventif;Manuelle;1;4;;4;3;;;;3;;;;;;;;;;;;;
